,Item,Naive,SES,Arima,Basic LSTM,Stacked LSTM,RNN,GRU
66,SSG 08 | Death Strike (Minimal Wear),3.9929337650134946,4.87394035066681,9.572732551247636,7.79693829630471,14.95603319565774,12.59214176379074,11.27435723206306
67,Souvenir AK-47 | Panthera onca (Battle-Scarred),11.469217229238826,12.654295718417856,12.541027167324758,17.86897781415052,17.876150526935234,17.09086218371166,18.523592276251943
68,Souvenir AK-47 | Panthera onca (Field-Tested),11.332247217097624,9.404020134193056,9.419748995543527,15.890214465554903,16.49879860663187,18.543111050690246,17.463121808589108
69,Souvenir AK-47 | Panthera onca (Well-Worn),27.08103044434194,12.266346306242335,15.904069938839253,16.167510867467346,18.16507243322025,18.362386210139096,17.572097848518812
70,Souvenir AWP | Acheron (Factory New),14.973998911485404,15.009803598616484,15.002693725163702,48.31220152457295,19.350777145632996,20.745399122219638,46.72282194186214
71,Souvenir AWP | Pink DDPAT (Battle-Scarred),9.330985188075008,9.05356511808535,8.98486300893417,17.575296565657155,10.891361864411646,45.69383731117421,47.10215182294608
72,Souvenir AWP | Pink DDPAT (Minimal Wear),10.549647453274822,13.71075832806819,13.615318983828374,24.153551486345556,24.482235497827514,17.64684535568198,17.07985723128317
73,Souvenir AWP | Pit Viper (Minimal Wear),59.54491933281039,42.85002982714224,44.00694875453141,57.10065296078945,53.553099970176255,47.28016071421205,55.32393484442177
74,Souvenir AWP | Safari Mesh (Well-Worn),51.62014186640656,51.148507385882354,50.00768957877881,55.28280332852706,48.143988682631935,55.32568501006937,81.6112603058019
75,Souvenir Desert Eagle | Fennec Fox (Field-Tested),8.372706436110407,8.748834879500887,8.746939224367406,10.748920594876324,11.31165544740161,10.986366806803185,9.800146738819501
76,Souvenir Desert Eagle | Hand Cannon (Factory New),39.10682610695318,27.689643538068037,27.74173974437989,35.14477857938715,31.76622828470896,32.43705098230171,33.14681913293936
77,Souvenir Dual Berettas | Cobalt Quartz (Minimal Wear),55.6994222678436,75.66344374267324,96.77036163961388,59.2532640757299,46.108086587184964,49.74392550803586,63.0999034699289
78,Souvenir Dual Berettas | Twin Turbo (Minimal Wear),33.301564735342154,62.62475114536019,62.66107726744164,35.42518012706485,34.705586191360055,31.103350327602577,34.32178427289397
79,Souvenir FAMAS | Teardown (Factory New),71.01851925726731,42.23592871461476,44.26134153847596,54.81199357011343,53.85414145752412,61.776958487761426,53.899346247718285
80,Souvenir Five-SeveN | Silver Quartz (Factory New),49.23842138604921,39.81041786452598,39.73804278368998,193.91107932235428,98.97242036715168,46.75918183630479,75.40960218760455
81,Souvenir Five-SeveN | Silver Quartz (Minimal Wear),52.96623776138487,42.878031285011346,42.95025082070264,47.34964002553352,40.74770419937043,66.5602801541071,49.45900546144232
82,Souvenir Galil AR | Cerberus (Factory New),62.21606565517297,64.89969668581092,69.48733137453677,80.41634777047669,73.06628154615397,74.47792431566542,75.40453670332775
83,Souvenir Galil AR | VariCamo (Minimal Wear),50.75701383145183,63.596030415612205,61.541316528658506,100.99038655269233,101.5953349039523,94.23880025053059,98.54857503833416
84,Souvenir Glock-18 | Candy Apple (Field-Tested),99.86643672028904,82.11254626770275,77.01758446805039,106.62771892339946,108.58561517336561,85.023583593234,110.13403382229622
85,Souvenir Glock-18 | Nuclear Garden (Factory New),24.917761917891525,32.27656689990871,31.983864006807604,46.824413287128976,42.2919172751533,35.174970923348184,36.323181196571454
86,Souvenir M249 | Gator Mesh (Factory New),86.27764694890843,83.24474675913962,75.85989564451002,97.01622611377286,97.82086817321762,101.01045425933108,97.20366827517199
87,Souvenir M4A1-S | Boreal Forest (Minimal Wear),81.02646853357587,44.216828817004284,44.72064738422034,49.74927659457142,55.25487343779094,56.33602957106953,52.200809568004466
88,Souvenir M4A1-S | Control Panel (Field-Tested),37.066082564765566,20.635251909352753,,21.35369607481108,23.794951583893205,20.556763781187687,21.863039101787994
